entry	working_name	status	ghidra_name	source
00406D16	func_00406d16	unidentified	FUN_00406d16	src/functions/6d/00406d16_func_00406d16.asm
00406D40	func_00406d40	unidentified	FUN_00406d40	src/functions/6d/00406d40_func_00406d40.asm
00406D8E	func_00406d8e	unidentified	FUN_00406d8e	src/functions/6d/00406d8e_func_00406d8e.asm
00406E28	func_00406e28	unidentified	FUN_00406e28	src/functions/6e/00406e28_func_00406e28.asm
00406FAE	func_00406fae	unidentified	FUN_00406fae	src/functions/6f/00406fae_func_00406fae.asm
00407049	func_00407049	unidentified	FUN_00407049	src/functions/70/00407049_func_00407049.asm
0040709F	func_0040709f	unidentified	FUN_0040709f	src/functions/70/0040709f_func_0040709f.asm
0040712C	func_0040712c	unidentified	FUN_0040712c	src/functions/71/0040712c_func_0040712c.asm
00407146	is_midi_sequence_playing	verified-role	FUN_00407146	src/functions/71/00407146_is_midi_sequence_playing.asm
0040716E	func_0040716e	unidentified	FUN_0040716e	src/functions/71/0040716e_func_0040716e.asm
00407188	func_00407188	unidentified	FUN_00407188	src/functions/71/00407188_func_00407188.asm
004071D4	func_004071d4	unidentified	FUN_004071d4	src/functions/71/004071d4_func_004071d4.asm
004071F2	func_004071f2	unidentified	FUN_004071f2	src/functions/71/004071f2_func_004071f2.asm
00407290	func_00407290	unidentified	FUN_00407290	src/functions/72/00407290_func_00407290.asm
004072A1	func_004072a1	unidentified	FUN_004072a1	src/functions/72/004072a1_func_004072a1.asm
00407302	func_00407302	unidentified	FUN_00407302	src/functions/73/00407302_func_00407302.asm
004074C1	func_004074c1	unidentified	FUN_004074c1	src/functions/74/004074c1_func_004074c1.asm
00407507	func_00407507	unidentified	FUN_00407507	src/functions/75/00407507_func_00407507.asm
004075AD	func_004075ad	unidentified	FUN_004075ad	src/functions/75/004075ad_func_004075ad.asm
00407638	func_00407638	unidentified	FUN_00407638	src/functions/76/00407638_func_00407638.asm
00407670	func_00407670	unidentified	FUN_00407670	src/functions/76/00407670_func_00407670.asm
0040768C	func_0040768c	unidentified	FUN_0040768c	src/functions/76/0040768c_func_0040768c.asm
00407748	func_00407748	unidentified	FUN_00407748	src/functions/77/00407748_func_00407748.asm
004077E5	func_004077e5	unidentified	FUN_004077e5	src/functions/77/004077e5_func_004077e5.asm
00407842	func_00407842	unidentified	FUN_00407842	src/functions/78/00407842_func_00407842.asm
004078B3	func_004078b3	unidentified	FUN_004078b3	src/functions/78/004078b3_func_004078b3.asm
00407931	func_00407931	unidentified	FUN_00407931	src/functions/79/00407931_func_00407931.asm
00407A76	func_00407a76	unidentified	FUN_00407a76	src/functions/7a/00407a76_func_00407a76.asm
00407AE7	func_00407ae7	unidentified	FUN_00407ae7	src/functions/7a/00407ae7_func_00407ae7.asm
00407B0D	func_00407b0d	unidentified	FUN_00407b0d	src/functions/7b/00407b0d_func_00407b0d.asm
00407B5E	func_00407b5e	unidentified	FUN_00407b5e	src/functions/7b/00407b5e_func_00407b5e.asm
00407BC2	func_00407bc2	unidentified	FUN_00407bc2	src/functions/7b/00407bc2_func_00407bc2.asm
00407C29	func_00407c29	unidentified	FUN_00407c29	src/functions/7c/00407c29_func_00407c29.asm
00407F2D	func_00407f2d	unidentified	FUN_00407f2d	src/functions/7f/00407f2d_func_00407f2d.asm
0040800D	func_0040800d	unidentified	FUN_0040800d	src/functions/80/0040800d_func_0040800d.asm
00408050	func_00408050	unidentified	FUN_00408050	src/functions/80/00408050_func_00408050.asm
004080AD	func_004080ad	unidentified	FUN_004080ad	src/functions/80/004080ad_func_004080ad.asm
004087FB	func_004087fb	unidentified	FUN_004087fb	src/functions/87/004087fb_func_004087fb.asm
0040881E	func_0040881e	unidentified	FUN_0040881e	src/functions/88/0040881e_func_0040881e.asm
00408846	func_00408846	unidentified	FUN_00408846	src/functions/88/00408846_func_00408846.asm
00408920	func_00408920	unidentified	FUN_00408920	src/functions/89/00408920_func_00408920.asm
00408A80	func_00408a80	unidentified	FUN_00408a80	src/functions/8a/00408a80_func_00408a80.asm
00408BB4	func_00408bb4	unidentified	FUN_00408bb4	src/functions/8b/00408bb4_func_00408bb4.asm
00408D00	func_00408d00	unidentified	FUN_00408d00	src/functions/8d/00408d00_func_00408d00.asm
00408D12	func_00408d12	unidentified	FUN_00408d12	src/functions/8d/00408d12_func_00408d12.asm
00408D24	func_00408d24	unidentified	FUN_00408d24	src/functions/8d/00408d24_func_00408d24.asm
00408DF6	open_loose_vdx	verified-role	FUN_00408df6	src/functions/8d/00408df6_open_loose_vdx.asm
00408E75	dispatch_game_or_loose_vdx	verified-role	FUN_00408e75	src/functions/8e/00408e75_dispatch_game_or_loose_vdx.asm
00408EB7	pump_media_and_game	verified-role	FUN_00408eb7	src/functions/8e/00408eb7_pump_media_and_game.asm
00408F10	func_00408f10	unidentified	FUN_00408f10	src/functions/8f/00408f10_func_00408f10.asm
00408F30	func_00408f30	unidentified	FUN_00408f30	src/functions/8f/00408f30_func_00408f30.asm
00409396	func_00409396	unidentified	FUN_00409396	src/functions/93/00409396_func_00409396.asm
00409503	func_00409503	unidentified	FUN_00409503	src/functions/95/00409503_func_00409503.asm
00409512	func_00409512	unidentified	FUN_00409512	src/functions/95/00409512_func_00409512.asm
004095D7	enforce_single_instance	verified-role	FUN_004095d7	src/functions/95/004095d7_enforce_single_instance.asm
0040965B	func_0040965b	unidentified	FUN_0040965b	src/functions/96/0040965b_func_0040965b.asm
00409691	fatal_media_error	verified-role	FUN_00409691	src/functions/96/00409691_fatal_media_error.asm
004096F0	shutdown_player	verified-role	FUN_004096f0	src/functions/96/004096f0_shutdown_player.asm
00409760	func_00409760	unidentified	FUN_00409760	src/functions/97/00409760_func_00409760.asm
0040977B	winmain	verified-role	FUN_0040977b	src/functions/97/0040977b_winmain.asm
00409850	setup_window_and_runtime	verified-role	FUN_00409850	src/functions/98/00409850_setup_window_and_runtime.asm
00409A90	init_game_state	verified-role	FUN_00409a90	src/functions/9a/00409a90_init_game_state.asm
00409AB6	func_00409ab6	unidentified	FUN_00409ab6	src/functions/9a/00409ab6_func_00409ab6.asm
00409B1D	func_00409b1d	unidentified	FUN_00409b1d	src/functions/9b/00409b1d_func_00409b1d.asm
00409D1E	func_00409d1e	unidentified	FUN_00409d1e	src/functions/9d/00409d1e_func_00409d1e.asm
00409D55	func_00409d55	unidentified	FUN_00409d55	src/functions/9d/00409d55_func_00409d55.asm
00409D64	func_00409d64	unidentified	FUN_00409d64	src/functions/9d/00409d64_func_00409d64.asm
00409E85	func_00409e85	unidentified	FUN_00409e85	src/functions/9e/00409e85_func_00409e85.asm
00409F0A	func_00409f0a	unidentified	FUN_00409f0a	src/functions/9f/00409f0a_func_00409f0a.asm
00409F1A	func_00409f1a	unidentified	FUN_00409f1a	src/functions/9f/00409f1a_func_00409f1a.asm
0040A29F	func_0040a29f	unidentified	FUN_0040a29f	src/functions/a2/0040a29f_func_0040a29f.asm
0040A39F	func_0040a39f	unidentified	FUN_0040a39f	src/functions/a3/0040a39f_func_0040a39f.asm
0040A3EE	func_0040a3ee	unidentified	FUN_0040a3ee	src/functions/a3/0040a3ee_func_0040a3ee.asm
0040A430	func_0040a430	unidentified	FUN_0040a430	src/functions/a4/0040a430_func_0040a430.asm
0040A73A	func_0040a73a	unidentified	FUN_0040a73a	src/functions/a7/0040a73a_func_0040a73a.asm
0040A786	func_0040a786	unidentified	FUN_0040a786	src/functions/a7/0040a786_func_0040a786.asm
0040A7AA	func_0040a7aa	unidentified	FUN_0040a7aa	src/functions/a7/0040a7aa_func_0040a7aa.asm
0040A84B	func_0040a84b	unidentified	FUN_0040a84b	src/functions/a8/0040a84b_func_0040a84b.asm
0040AA45	func_0040aa45	unidentified	FUN_0040aa45	src/functions/aa/0040aa45_func_0040aa45.asm
0040AB84	func_0040ab84	unidentified	FUN_0040ab84	src/functions/ab/0040ab84_func_0040ab84.asm
0040B198	func_0040b198	unidentified	FUN_0040b198	src/functions/b1/0040b198_func_0040b198.asm
0040BFF4	func_0040bff4	unidentified	FUN_0040bff4	src/functions/bf/0040bff4_func_0040bff4.asm
0040C0BB	func_0040c0bb	unidentified	FUN_0040c0bb	src/functions/c0/0040c0bb_func_0040c0bb.asm
0040C0E7	load_script_grv	verified-role	FUN_0040c0e7	src/functions/c0/0040c0e7_load_script_grv.asm
0040C129	func_0040c129	unidentified	FUN_0040c129	src/functions/c1/0040c129_func_0040c129.asm
0040C180	init_archive_tables	verified-role	FUN_0040c180	src/functions/c1/0040c180_init_archive_tables.asm
0040C197	func_0040c197	unidentified	FUN_0040c197	src/functions/c1/0040c197_func_0040c197.asm
0040C1BD	configure_vdx_stream	verified-role	FUN_0040c1bd	src/functions/c1/0040c1bd_configure_vdx_stream.asm
0040C261	decode_vdx_stream	verified-role	FUN_0040c261	src/functions/c2/0040c261_decode_vdx_stream.asm
0040C6A5	func_0040c6a5	unidentified	FUN_0040c6a5	src/functions/c6/0040c6a5_func_0040c6a5.asm
0040C780	func_0040c780	unidentified	FUN_0040c780	src/functions/c7/0040c780_func_0040c780.asm
0040C79C	func_0040c79c	unidentified	FUN_0040c79c	src/functions/c7/0040c79c_func_0040c79c.asm
0040C7C3	func_0040c7c3	unidentified	FUN_0040c7c3	src/functions/c7/0040c7c3_func_0040c7c3.asm
