linear_entry	working_name	status	ghidra_entry	ghidra_name	source
03E44	func_03e44	unidentified	1000:3e44	FUN_1000_3e44	src/functions/3e/03e44_func_03e44.asm
03E85	func_03e85	unidentified	1000:3e85	FUN_1000_3e85	src/functions/3e/03e85_func_03e85.asm
03EB8	func_03eb8	unidentified	1000:3eb8	FUN_1000_3eb8	src/functions/3e/03eb8_func_03eb8.asm
03EEA	grv_check_valid_saves	verified-role	1000:3eea	FUN_1000_3eea	src/functions/3e/03eea_grv_check_valid_saves.asm
03F23	func_03f23	unidentified	1000:3f23	FUN_1000_3f23	src/functions/3f/03f23_func_03f23.asm
03F77	func_03f77	unidentified	1000:3f77	FUN_1000_3f77	src/functions/3f/03f77_func_03f77.asm
03FC4	func_03fc4	unidentified	1000:3fc4	FUN_1000_3fc4	src/functions/3f/03fc4_func_03fc4.asm
04001	func_04001	unidentified	1000:4001	FUN_1000_4001	src/functions/40/04001_func_04001.asm
04004	func_04004	unidentified	1000:4004	FUN_1000_4004	src/functions/40/04004_func_04004.asm
0400A	func_0400a	unidentified	1000:400a	FUN_1000_400a	src/functions/40/0400a_func_0400a.asm
04016	func_04016	unidentified	1000:4016	FUN_1000_4016	src/functions/40/04016_func_04016.asm
04087	func_04087	unidentified	1000:4087	FUN_1000_4087	src/functions/40/04087_func_04087.asm
0409B	func_0409b	unidentified	1000:409b	FUN_1000_409b	src/functions/40/0409b_func_0409b.asm
040B2	func_040b2	unidentified	1000:40b2	FUN_1000_40b2	src/functions/40/040b2_func_040b2.asm
040C7	func_040c7	unidentified	1000:40c7	FUN_1000_40c7	src/functions/40/040c7_func_040c7.asm
040DF	func_040df	unidentified	1000:40df	FUN_1000_40df	src/functions/40/040df_func_040df.asm
040F7	func_040f7	unidentified	1000:40f7	FUN_1000_40f7	src/functions/40/040f7_func_040f7.asm
04103	func_04103	unidentified	1000:4103	FUN_1000_4103	src/functions/41/04103_func_04103.asm
0410F	func_0410f	unidentified	1000:410f	FUN_1000_410f	src/functions/41/0410f_func_0410f.asm
041A4	func_041a4	unidentified	1000:41a4	FUN_1000_41a4	src/functions/41/041a4_func_041a4.asm
041CB	func_041cb	unidentified	1000:41cb	FUN_1000_41cb	src/functions/41/041cb_func_041cb.asm
041DF	func_041df	unidentified	1000:41df	FUN_1000_41df	src/functions/41/041df_func_041df.asm
041F8	func_041f8	unidentified	1000:41f8	FUN_1000_41f8	src/functions/41/041f8_func_041f8.asm
0421E	func_0421e	unidentified	1000:421e	FUN_1000_421e	src/functions/42/0421e_func_0421e.asm
04244	func_04244	unidentified	1000:4244	FUN_1000_4244	src/functions/42/04244_func_04244.asm
0426A	func_0426a	unidentified	1000:426a	FUN_1000_426a	src/functions/42/0426a_func_0426a.asm
04292	func_04292	unidentified	1000:4292	FUN_1000_4292	src/functions/42/04292_func_04292.asm
042B1	func_042b1	unidentified	1000:42b1	FUN_1000_42b1	src/functions/42/042b1_func_042b1.asm
042CB	func_042cb	unidentified	1000:42cb	FUN_1000_42cb	src/functions/42/042cb_func_042cb.asm
042F1	func_042f1	unidentified	1000:42f1	FUN_1000_42f1	src/functions/42/042f1_func_042f1.asm
04327	func_04327	unidentified	1000:4327	FUN_1000_4327	src/functions/43/04327_func_04327.asm
0432B	func_0432b	unidentified	1000:432b	FUN_1000_432b	src/functions/43/0432b_func_0432b.asm
04375	func_04375	unidentified	1000:4375	FUN_1000_4375	src/functions/43/04375_func_04375.asm
043C9	func_043c9	unidentified	1000:43c9	FUN_1000_43c9	src/functions/43/043c9_func_043c9.asm
043D2	func_043d2	unidentified	1000:43d2	FUN_1000_43d2	src/functions/43/043d2_func_043d2.asm
04406	func_04406	unidentified	1000:4406	FUN_1000_4406	src/functions/44/04406_func_04406.asm
0443A	func_0443a	unidentified	1000:443a	FUN_1000_443a	src/functions/44/0443a_func_0443a.asm
0444A	func_0444a	unidentified	1000:444a	FUN_1000_444a	src/functions/44/0444a_func_0444a.asm
04451	func_04451	unidentified	1000:4451	FUN_1000_4451	src/functions/44/04451_func_04451.asm
04461	func_04461	unidentified	1000:4461	FUN_1000_4461	src/functions/44/04461_func_04461.asm
0447B	run_grv_input_loop	verified-role	1000:447b	FUN_1000_447b	src/functions/44/0447b_run_grv_input_loop.asm
046F5	func_046f5	unidentified	1000:46f5	FUN_1000_46f5	src/functions/46/046f5_func_046f5.asm
04710	func_04710	unidentified	1000:4710	FUN_1000_4710	src/functions/47/04710_func_04710.asm
04729	match_grv_key_action	verified-role	1000:4729	FUN_1000_4729	src/functions/47/04729_match_grv_key_action.asm
04754	func_04754	unidentified	1000:4754	FUN_1000_4754	src/functions/47/04754_func_04754.asm
0475E	func_0475e	unidentified	1000:475e	FUN_1000_475e	src/functions/47/0475e_func_0475e.asm
04768	func_04768	unidentified	1000:4768	FUN_1000_4768	src/functions/47/04768_func_04768.asm
04772	func_04772	unidentified	1000:4772	FUN_1000_4772	src/functions/47/04772_func_04772.asm
0477C	func_0477c	unidentified	1000:477c	FUN_1000_477c	src/functions/47/0477c_func_0477c.asm
0478C	func_0478c	unidentified	1000:478c	FUN_1000_478c	src/functions/47/0478c_func_0478c.asm
0479C	func_0479c	unidentified	1000:479c	FUN_1000_479c	src/functions/47/0479c_func_0479c.asm
047AC	func_047ac	unidentified	1000:47ac	FUN_1000_47ac	src/functions/47/047ac_func_047ac.asm
047BC	func_047bc	unidentified	1000:47bc	FUN_1000_47bc	src/functions/47/047bc_func_047bc.asm
047CC	func_047cc	unidentified	1000:47cc	FUN_1000_47cc	src/functions/47/047cc_func_047cc.asm
047DC	test_grv_hotspot_rect	verified-role	1000:47dc	FUN_1000_47dc	src/functions/47/047dc_test_grv_hotspot_rect.asm
04849	func_04849	unidentified	1000:4849	FUN_1000_4849	src/functions/48/04849_func_04849.asm
048C9	func_048c9	unidentified	1000:48c9	FUN_1000_48c9	src/functions/48/048c9_func_048c9.asm
04957	func_04957	unidentified	1000:4957	FUN_1000_4957	src/functions/49/04957_func_04957.asm
0495D	func_0495d	unidentified	1000:495d	FUN_1000_495d	src/functions/49/0495d_func_0495d.asm
04980	func_04980	unidentified	1000:4980	FUN_1000_4980	src/functions/49/04980_func_04980.asm
04A23	func_04a23	unidentified	1000:4a23	FUN_1000_4a23	src/functions/4a/04a23_func_04a23.asm
04A55	func_04a55	unidentified	1000:4a55	FUN_1000_4a55	src/functions/4a/04a55_func_04a55.asm
04A7B	func_04a7b	unidentified	1000:4a7b	FUN_1000_4a7b	src/functions/4a/04a7b_func_04a7b.asm
04BF5	func_04bf5	unidentified	1000:4bf5	FUN_1000_4bf5	src/functions/4b/04bf5_func_04bf5.asm
04C27	func_04c27	unidentified	1000:4c27	FUN_1000_4c27	src/functions/4c/04c27_func_04c27.asm
04CD2	func_04cd2	unidentified	1000:4cd2	FUN_1000_4cd2	src/functions/4c/04cd2_func_04cd2.asm
04D8C	func_04d8c	unidentified	1000:4d8c	FUN_1000_4d8c	src/functions/4d/04d8c_func_04d8c.asm
04E1F	func_04e1f	unidentified	1000:4e1f	FUN_1000_4e1f	src/functions/4e/04e1f_func_04e1f.asm
04EAE	func_04eae	unidentified	1000:4eae	FUN_1000_4eae	src/functions/4e/04eae_func_04eae.asm
04FC7	func_04fc7	unidentified	1000:4fc7	FUN_1000_4fc7	src/functions/4f/04fc7_func_04fc7.asm
04FEB	func_04feb	unidentified	1000:4feb	FUN_1000_4feb	src/functions/4f/04feb_func_04feb.asm
04FF6	func_04ff6	unidentified	1000:4ff6	FUN_1000_4ff6	src/functions/4f/04ff6_func_04ff6.asm
05010	func_05010	unidentified	1000:5010	FUN_1000_5010	src/functions/50/05010_func_05010.asm
05018	func_05018	unidentified	1000:5018	FUN_1000_5018	src/functions/50/05018_func_05018.asm
05057	func_05057	unidentified	1000:5057	FUN_1000_5057	src/functions/50/05057_func_05057.asm
051C5	func_051c5	unidentified	1000:51c5	FUN_1000_51c5	src/functions/51/051c5_func_051c5.asm
051CB	func_051cb	unidentified	1000:51cb	FUN_1000_51cb	src/functions/51/051cb_func_051cb.asm
051E5	func_051e5	unidentified	1000:51e5	FUN_1000_51e5	src/functions/51/051e5_func_051e5.asm
051FF	func_051ff	unidentified	1000:51ff	FUN_1000_51ff	src/functions/51/051ff_func_051ff.asm
05217	func_05217	unidentified	1000:5217	FUN_1000_5217	src/functions/52/05217_func_05217.asm
05226	func_05226	unidentified	1000:5226	FUN_1000_5226	src/functions/52/05226_func_05226.asm
05235	func_05235	unidentified	1000:5235	FUN_1000_5235	src/functions/52/05235_func_05235.asm
05379	func_05379	unidentified	1000:5379	FUN_1000_5379	src/functions/53/05379_func_05379.asm
05480	func_05480	unidentified	1000:5480	FUN_1000_5480	src/functions/54/05480_func_05480.asm
054AD	func_054ad	unidentified	1000:54ad	FUN_1000_54ad	src/functions/54/054ad_func_054ad.asm
054F9	func_054f9	unidentified	1000:54f9	FUN_1000_54f9	src/functions/54/054f9_func_054f9.asm
05523	func_05523	unidentified	1000:5523	FUN_1000_5523	src/functions/55/05523_func_05523.asm
055FC	func_055fc	unidentified	1000:55fc	FUN_1000_55fc	src/functions/55/055fc_func_055fc.asm
05719	func_05719	unidentified	1000:5719	FUN_1000_5719	src/functions/57/05719_func_05719.asm
05728	func_05728	unidentified	1000:5728	FUN_1000_5728	src/functions/57/05728_func_05728.asm
05729	func_05729	unidentified	1000:5729	FUN_1000_5729	src/functions/57/05729_func_05729.asm
0572A	func_0572a	unidentified	1000:572a	FUN_1000_572a	src/functions/57/0572a_func_0572a.asm
05734	func_05734	unidentified	1000:5734	FUN_1000_5734	src/functions/57/05734_func_05734.asm
0574A	func_0574a	unidentified	1000:574a	FUN_1000_574a	src/functions/57/0574a_func_0574a.asm
05754	func_05754	unidentified	1000:5754	FUN_1000_5754	src/functions/57/05754_func_05754.asm
0575E	func_0575e	unidentified	1000:575e	FUN_1000_575e	src/functions/57/0575e_func_0575e.asm
0576E	initialize_subsystems_xms	verified-role	1000:576e	FUN_1000_576e	src/functions/57/0576e_initialize_subsystems_xms.asm
05A37	func_05a37	unidentified	1000:5a37	FUN_1000_5a37	src/functions/5a/05a37_func_05a37.asm
05A6C	func_05a6c	unidentified	1000:5a6c	FUN_1000_5a6c	src/functions/5a/05a6c_func_05a6c.asm
05A8B	func_05a8b	unidentified	1000:5a8b	FUN_1000_5a8b	src/functions/5a/05a8b_func_05a8b.asm
05AAC	func_05aac	unidentified	1000:5aac	FUN_1000_5aac	src/functions/5a/05aac_func_05aac.asm
05BD1	load_and_play_selected_xmi	verified-role	1000:5bd1	FUN_1000_5bd1	src/functions/5b/05bd1_load_and_play_selected_xmi.asm
05C06	func_05c06	unidentified	1000:5c06	FUN_1000_5c06	src/functions/5c/05c06_func_05c06.asm
05CED	shutdown_player	verified-role	1000:5ced	FUN_1000_5ced	src/functions/5c/05ced_shutdown_player.asm
05E8D	func_05e8d	unidentified	1000:5e8d	FUN_1000_5e8d	src/functions/5e/05e8d_func_05e8d.asm
05EA9	func_05ea9	unidentified	1000:5ea9	FUN_1000_5ea9	src/functions/5e/05ea9_func_05ea9.asm
05EC8	func_05ec8	unidentified	1000:5ec8	FUN_1000_5ec8	src/functions/5e/05ec8_func_05ec8.asm
05ED6	func_05ed6	unidentified	1000:5ed6	FUN_1000_5ed6	src/functions/5e/05ed6_func_05ed6.asm
05F22	func_05f22	unidentified	1000:5f22	FUN_1000_5f22	src/functions/5f/05f22_func_05f22.asm
05F6C	func_05f6c	unidentified	1000:5f6c	FUN_1000_5f6c	src/functions/5f/05f6c_func_05f6c.asm
05FB6	func_05fb6	unidentified	1000:5fb6	FUN_1000_5fb6	src/functions/5f/05fb6_func_05fb6.asm
05FD8	func_05fd8	unidentified	1000:5fd8	FUN_1000_5fd8	src/functions/5f/05fd8_func_05fd8.asm
05FE4	func_05fe4	unidentified	1000:5fe4	FUN_1000_5fe4	src/functions/5f/05fe4_func_05fe4.asm
060D0	func_060d0	unidentified	1000:60d0	FUN_1000_60d0	src/functions/60/060d0_func_060d0.asm
061D0	func_061d0	unidentified	1000:61d0	FUN_1000_61d0	src/functions/61/061d0_func_061d0.asm
06290	func_06290	unidentified	1000:6290	FUN_1000_6290	src/functions/62/06290_func_06290.asm
062EA	func_062ea	unidentified	1000:62ea	FUN_1000_62ea	src/functions/62/062ea_func_062ea.asm
063B4	func_063b4	unidentified	1000:63b4	FUN_1000_63b4	src/functions/63/063b4_func_063b4.asm
0641C	func_0641c	unidentified	1000:641c	FUN_1000_641c	src/functions/64/0641c_func_0641c.asm
06436	func_06436	unidentified	1000:6436	FUN_1000_6436	src/functions/64/06436_func_06436.asm
06458	func_06458	unidentified	1000:6458	FUN_1000_6458	src/functions/64/06458_func_06458.asm
0656C	func_0656c	unidentified	1000:656c	FUN_1000_656c	src/functions/65/0656c_func_0656c.asm
06846	func_06846	unidentified	1000:6846	FUN_1000_6846	src/functions/68/06846_func_06846.asm
06A6D	func_06a6d	unidentified	1000:6a6d	FUN_1000_6a6d	src/functions/6a/06a6d_func_06a6d.asm
06A81	func_06a81	unidentified	1000:6a81	FUN_1000_6a81	src/functions/6a/06a81_func_06a81.asm
06AEF	func_06aef	unidentified	1000:6aef	FUN_1000_6aef	src/functions/6a/06aef_func_06aef.asm
06D0E	func_06d0e	unidentified	1000:6d0e	FUN_1000_6d0e	src/functions/6d/06d0e_func_06d0e.asm
06DE4	func_06de4	unidentified	1000:6de4	FUN_1000_6de4	src/functions/6d/06de4_func_06de4.asm
06E68	func_06e68	unidentified	1000:6e68	FUN_1000_6e68	src/functions/6e/06e68_func_06e68.asm
06E72	func_06e72	unidentified	1000:6e72	FUN_1000_6e72	src/functions/6e/06e72_func_06e72.asm
06EB6	func_06eb6	unidentified	1000:6eb6	FUN_1000_6eb6	src/functions/6e/06eb6_func_06eb6.asm
06ED9	func_06ed9	unidentified	1000:6ed9	FUN_1000_6ed9	src/functions/6e/06ed9_func_06ed9.asm
06FA9	func_06fa9	unidentified	1000:6fa9	FUN_1000_6fa9	src/functions/6f/06fa9_func_06fa9.asm
073E0	func_073e0	unidentified	1702:03c0	FUN_1702_03c0	src/functions/73/073e0_func_073e0.asm
07418	func_07418	unidentified	1702:03f8	FUN_1702_03f8	src/functions/74/07418_func_07418.asm
07501	func_07501	unidentified	1702:04e1	FUN_1702_04e1	src/functions/75/07501_func_07501.asm
